label,plant_id,count
FieldPea,dlpea,28202
FieldPea,dlpea6,1144
FieldPea,dlpea7,4896
FieldPea,fieldpea,15727
FieldPea,dlpea5,5584
Canola,196,24481
Canola,154,20591
Canola,046,26779
Canola,049,23006
Canola,151,13879
Canola,169,22082
Canola,002,24338
Canola,130,21182
Canola,branap,37152
Canola,149,17172
Canola,162,14946
Navy Bean,t99,432
Navy Bean,navy,21826
Navy Bean,t9905,1167
Black Bean,black,19673
Pinto Bean,pinto,22743
Oat,50_1oat,6814
Oat,arborg,7198
Oat,endure,5283
Oat,minstrel,2407
Oat,morrison,5323
Kidney Bean,lightred,24816
Kidney Bean,darkred,22915
YellowFoxtail,setpum,22222
Smartweed,perspp,104660
Black Bean Eclipse,eclipse,11276
Pink Bean,flyod,23447
Soybean,nocoma,2554
Soybean,169,22082
Soybean,Soybean,3107
Soybean,25_10,6975
Soybean,th8800,5505
Soybean,foote,8697
Soybean,eclipse,11276
Soybean,s006w,15004
Soybean,dkb-52,5452
Soybean,24_10,5735
Soybean,ls0036rr,1465
Soybean,mcleod,12271
Soybean,astro,10748
Soybean,dkb,21853
Soybean,watson,7551
Soybean,prudence0,2107
Soybean,fieldsoy,58013
Soybean,lsrr,2275
Soybean,p007,9541
Soybean,ps0027rr,4015
Soybean,culross,10844
Soybean,2410ry,2665
Wheat,shelly,14908
Wheat,cardale,10842
Wheat,brandon,19618
Wheat,wheat,2009
Wheat,hughes,13985
Wheat,faller,11296
Wheat,bolles,20282
Montcalm,montcalm,905
Dandelion,taroff,108713
BarnyardGrass,echcru,114874
Pink Panther,pink,432
WildBuckwheat,falconv,31721
CanadaThistle,cirarv,112658
Cranberry Bean,etna,472
Cranberry Bean,cranbean,22892
WildOat,avefat,12351
