New Label,Old Label
"Canola","20P002"
"Canola","20P0149"
"Canola","20P0151"
"Canola","20P0154"
"Canola","20P046"
"Canola","20P049"
"Canola","20P130"
"Canola","20P162"
"Canola","20P196"
"Cranberry Bean","Etna"
"Navy Bean","T9905"
"Soybean","20P169"
"Soybean","24-10 RY"
"Soybean","Astro Soybean"
"Soybean","DKB 0009-89"
"Soybean","Eclipse"
"Soybean","Foote RZ"
"Soybean","LS 0036 RR"
"Soybean","McLeod"
"Soybean","NSC Culross RR2X"
"Soybean","NSC Watson RR2Y"
"Soybean","Nocoma"
"Soybean","P007A90R"
"Soybean","PS 0027 RR"
"Soybean","Prudence"
"Soybean","S006-W5"
"Wheat","Brandon"
"Wheat","CDC Hughes"
"Wheat","Faller"
