New Plant_id,Old Plant_id
"002","002_001"
"002","002_002"
"002","002_003"
"002","p002_001"
"002","p002_002"
"002","p002_003"
"002","p002_005"
"002","p002_006"
"002","p002_010"
"002","p002_011"
"002","p002_012"
"046","046_001"
"046","046_002"
"046","046_003"
"046","p046_001"
"046","p046_002"
"046","p046_003"
"046","p046_004"
"046","p046_005"
"046","p046_011"
"046","p046_012"
"046","p046_013"
"049","049_001"
"049","049_002"
"049","049_003"
"049","p049_004"
"049","p049_005"
"049","p049_006"
"049","p049_010"
"049","p049_011"
"049","p049_012"
"049","p049_013"
"130","130_001"
"130","130_002"
"130","130_003"
"130","130_004"
"130","p130_001"
"130","p130_002"
"130","p130_003"
"130","p130_005"
"130","p130_006"
"130","p130_007"
"130","p130_010"
"130","p130_011"
"130","p130_012"
"130","p130_013"
"149","149_001"
"149","149_002"
"149","149_003"
"149","149_004"
"149","p149_005"
"149","p149_006"
"149","p149_010"
"149","p149_011"
"149","p149_012"
"149","p149_013"
"151","151_001"
"151","151_002"
"151","151_003"
"151","p151_004"
"151","p151_010"
"151","p151_011"
"151","p151_012"
"151","p151_013"
"154","154_001"
"154","154_002"
"154","154_003"
"154","p154_001"
"154","p154_004"
"154","p154_005"
"154","p154_010"
"154","p154_011"
"154","p154_012"
"154","p154_013"
"162","162_001"
"162","162_002"
"162","162_003"
"162","162_004"
"162","p162_001"
"162","p162_002"
"162","p162_005"
"162","p162_010"
"162","p162_011"
"162","p162_012"
"169","169_001"
"169","169_002"
"169","169_003"
"169","p169_001"
"169","p169_002"
"169","p169_003"
"169","p169_010"
"169","p169_011"
"169","p169_012"
"196","196_001"
"196","196_002"
"196","196_003"
"196","196_004"
"196","p196_001"
"196","p196_002"
"196","p196_003"
"196","p196_005"
"196","p196_006"
"196","p196_007"
"196","p196_010"
"196","p196_011"
"196","p196_012"
"196","p196_013"
"196","p196_014"
"2410ry","2410ry001"
"2410ry","2410ry002"
"2410ry","2410ry003"
"2410ry","2410ry004"
"24_10","24_10_011"
"25_10","25_10_010"
"25_10","25_10_011"
"50_1oat","50_1oat001"
"50_1oat","50_1oat002"
"50_1oat","50_1oat003"
"arborg","arborg001"
"arborg","arborg002"
"arborg","arborg003"
"astro","astro001"
"astro","astro002"
"astro","astro003"
"astro","astro004"
"astro","astro010"
"astro","astro011"
"astro","astro012"
"avefat","avefat001"
"avefat","avefat002"
"avefat","avefat003"
"avefat","avefat013"
"avefat","avefat016"
"avefat","avefat017"
"avefat","avefat018"
"bassco","bassco001"
"bassco","bassco002"
"bassco","bassco003"
"bassco","bassco004"
"bassco","bassco005"
"beclipse","beclipse001"
"black","black010"
"black","black011"
"black","black012"
"black","black013"
"black","black014"
"black","black015"
"bolles","bolles006"
"bolles","bolles007"
"bolles","bolles008"
"bolles","bolles009"
"bolles","bolles010"
"branap","branap002"
"branap","branap003"
"branap","branap004"
"branap","branap005"
"branap","branap007"
"branap","branap009"
"branap","branap012"
"branap","branap013"
"branap","branap014"
"branap","branap015"
"branap","branap016"
"branap","branap017"
"branap","branap018"
"branap","branap020"
"branap","branap021"
"branap","branap024"
"branap","branap025"
"brandon","brandon001"
"brandon","brandon002"
"brandon","brandon007"
"brandon","brandon008"
"brandon","brandon009"
"brandon","brandon010"
"brandon","brandon011"
"brandon","brandon012"
"cardale","cardale008"
"cardale","cardale009"
"cardale","cardale010"
"cirarv","cirarv001"
"cirarv","cirarv002"
"cirarv","cirarv003"
"cirarv","cirarv004"
"cirarv","cirarv005"
"cirarv","cirarv011"
"cirarv","cirarv011b"
"cirarv","cirarv012"
"cirarv","cirarv012b"
"cirarv","cirarv020"
"cirarv","cirarv021"
"cirarv","cirarv022"
"cirarv","cirarv023"
"cirarv","cirarv024"
"cirarv","cirarv025"
"cirarv","cirarv026"
"cirarv","cirarv027"
"cirarv","cirarv028"
"cranbean","cranbean010"
"cranbean","cranbean011"
"cranbean","cranbean012"
"cranbean","cranbean013"
"cranbean","cranbean014"
"cranbean","cranbean015"
"cranbean","cranbean016"
"culross","culross001"
"culross","culross002"
"culross","culross003"
"culross","culross010"
"culross","culross011"
"culross","culross012"
"culross","culross013"
"darkred","darkred010"
"darkred","darkred011"
"darkred","darkred012"
"darkred","darkred013"
"darkred","darkred014"
"darkred","darkred015"
"darkred","darkred016"
"darkred","darkred017"
"darkred","darkred018"
"dkb-52","dkb-52_010"
